month_index,fe,fe_ci_ll,fe_ci_ul
2,-0.568744203161488,-1.10293732737032,-0.0345510789526575
3,-0.318981910617568,-1.97823563858427,1.34027181734914
4,-0.576326233620775,-1.008482613511,-0.144169853730554
5,-1.05733937512544,-1.5996674533475,-0.515011296903387
6,0.00647875320784485,-0.373049838182162,0.386007344597852
7,-0.647274457861097,-1.4320978799998,0.137548964277609
8,-0.62096856848475,-1.16426506985958,-0.0776720671099175
9,-1.22229446800677,-2.06307891894171,-0.381510017071839
11,-0.556337348781029,-1.49666225777766,0.383987560215607
12,-0.977794250393554,-2.32682114500761,0.371232644220503
14,0.155963056184195,-0.901205646497627,1.21313175886602
16,-0.522580550112629,-1.13570802850397,0.090546928278711
17,-0.399661555897123,-0.918427420409556,0.11910430861531
18,-0.5818004833965,-1.35763112703239,0.194030160239386
19,-0.145929921144387,-0.854742934611487,0.562883092322712
20,0.0524105001329542,-0.501889695609162,0.60671069587507
21,-0.795145362825901,-1.5782267810187,-0.0120639446331016
22,-0.509490984293192,-1.30831260330345,0.289330634717063
23,-0.0785389362065925,-0.551947750137943,0.394869877724758
24,-0.216289563284496,-0.759554103042295,0.326974976473302
25,-0.546448451590964,-1.06236385371829,-0.0305330494636384
26,-0.837242342529922,-1.54191822280349,-0.132566462256357
27,-0.530954558502559,-1.23212492237193,0.170215805366813
28,0.181782262155255,-0.337939346088958,0.701503870399468
29,-1.00168641409682,-1.7971780076208,-0.206194820572841
30,-0.22596911453821,-0.785432688882619,0.3334944598062
31,0.000174339687626787,-0.535508485259627,0.535857164634881
32,-0.271013009323874,-0.769440115842768,0.227414097195021
33,-0.394290237000924,-1.22921342730085,0.440632953299001
34,-0.0427517154582343,-0.939056555703241,0.853553124786772
35,-0.651858346931694,-1.30432310069463,0.000606406831243356
36,-0.455272238290645,-1.2388843674544,0.328339890873113
37,-0.278058103402848,-0.849499105207181,0.293382898401484
38,0.130103317004479,-0.585507525527432,0.84571415953639
39,-0.546032143001903,-1.14147849611015,0.0494142101063385
40,-0.250165485544168,-0.748661022899982,0.248330051811646
41,-0.874887790125572,-1.82331604762088,0.0735404673697392
42,-0.695068244282622,-1.24878163536091,-0.141354853204336
43,-1.82441302815947,-2.64338700072653,-1.0054390555924
44,-0.417363883243419,-1.14896680089004,0.314239034403204
45,0.0603368264430969,-0.604848482292325,0.725522135178519
46,-0.89870723887242,-1.48434567964465,-0.313068798100186
47,-0.573972581503119,-1.17287884320977,0.0249336802035346
48,0.0699735232784693,-0.615384057477544,0.755331104034483
49,-0.620271055193875,-1.36243168299114,0.121889572603392
50,0.130647073064435,-0.34338342175558,0.604677567884451
51,-0.120644626849183,-0.648694927062605,0.407405673364239
52,-0.501872518034065,-1.09573510226774,0.0919900661996114
53,-0.0165967983363255,-0.572546335568761,0.53935273889611
54,-0.433148862870418,-1.13671979590462,0.270422070163782
55,-0.6040862580592,-1.15558179249968,-0.0525907236187243
56,-1.19656632663679,-1.59841030475353,-0.794722348520045
57,-0.532260505081717,-1.49394202243727,0.429421012273835
58,-0.928270940453288,-1.62712652407882,-0.229415356827753
59,-1.1422591961324,-1.81359416835688,-0.470924223907931
60,0.0739246305652954,-0.326779980393881,0.474629241524471
61,-0.126699850800007,-0.661120026701649,0.407720325101634
62,-0.28925717118632,-0.929207804452707,0.350693462080066
63,-0.639099431852774,-1.81358571787017,0.535386854164618
64,-0.648324654997667,-1.30509528972072,0.00844597972539008
65,0.0585284038448805,-0.821379010351899,0.93843581804166
66,0.0568910019478937,-0.735485559816149,0.849267563711937
67,-0.270565620135248,-0.959360017345444,0.418228777074949
68,-0.634711484563053,-1.35453267703872,0.0851097079126177
69,-0.679010784130156,-1.33516880616123,-0.0228527620990784
70,-0.726731613045609,-1.31314725106027,-0.140315975030947
71,-0.0724042856345905,-0.649971006842149,0.505162435572968
72,0.209816657449888,-0.463622814686385,0.883256129586161
73,-0.114538221685017,-0.69454932971849,0.465472886348456
74,-0.564565772612474,-1.15867357530233,0.0295420300773815
75,-0.174654819345602,-0.658962740869442,0.309653102178238
76,-0.519788934114108,-1.11975609909925,0.08017823087103
77,-0.63039626749539,-1.23279220163332,-0.0280003333574578
78,-1.29870709539261,-2.33949154908811,-0.257922641697097
79,-0.638777316627369,-1.23521333723903,-0.0423412960157107
80,-0.140110269779029,-0.643588789527073,0.363368249969015
81,-0.216926054304382,-0.863532788117315,0.429680679508551
82,0.0446409072592848,-0.407624828048144,0.496906642566713
83,-1.05835839462919,-1.82515221605805,-0.29156457320033
84,-0.63121475939371,-1.49873240583195,0.236302887044532
85,-0.190831346880738,-0.639725444823455,0.258062751061979
86,-0.693706590862768,-1.30045884112876,-0.0869543405967729
87,-0.724916416123781,-1.44767766057472,-0.00215517167284318
88,-0.766177899561918,-1.32748483978387,-0.204870959339964
89,-0.254567295419411,-0.85723582557641,0.34810123473759
90,-0.458957934165832,-1.26038993516381,0.342474066832142
91,-0.500828905426441,-1.22893232635234,0.227274515499458
92,-0.393654628618074,-0.959139763662486,0.171830506426338
93,-0.138942511126415,-0.731181286258394,0.453296264005563
94,-0.610671245007458,-1.15391886844761,-0.0674236215673114
95,-0.677449373800847,-1.25953559564765,-0.0953631519540473
96,-0.323347253738659,-0.925478313337316,0.278783805859999
97,0.00203103027858127,-0.512584135662878,0.516646196220041
98,-0.209193986199042,-0.830350301877598,0.411962329479515
99,-0.209498589935864,-0.752017240741026,0.333020060869299
100,-0.206319201419003,-0.759177371471731,0.346538968633725
101,-0.297036377991775,-0.84366806602822,0.24959531004467
102,-0.316930772258999,-0.901634267028085,0.267772722510087
103,-0.550928589925525,-1.08574078246624,-0.0161163973848092
104,-0.111948292152923,-0.641114090463304,0.417217506157458
105,-0.309735845429049,-0.890234507968939,0.27076281711084
106,-0.833879824115001,-1.44961195104949,-0.218147697180513
107,-0.547438764879921,-1.20098362722239,0.106106097462545
108,-0.583192891175516,-1.05273363305053,-0.113652149300501
109,-0.243012613900782,-0.760715888891404,0.274690661089841
110,-0.432321989528965,-0.889646766138619,0.0250027870806892
111,-0.577170462497667,-1.19048331075626,0.0361423857609285
112,-0.451804066998693,-1.08500859512616,0.181400461128772
113,-0.381551237831877,-0.833793885174591,0.0706914095108381
114,-0.625770737802549,-1.2652595978437,0.0137181222385994
115,-0.255535496139405,-0.766538164713432,0.255467172434621
116,-0.547759165697789,-1.21812324884284,0.122604917447263
117,-0.6732997828325,-1.13142148951317,-0.215178076151835
118,-0.779984761551306,-1.52406551351466,-0.0359040095879479
119,-0.210942516160076,-0.732422095416712,0.31053706309656
120,-0.135709385244673,-0.672151471126103,0.400732700636757
121,-0.364023117465998,-0.849475049562559,0.121428814630564
122,-0.486753920898626,-0.986604390174227,0.0130965483769739
123,-0.0805627793709727,-0.542904627678879,0.381779068936934
124,-0.84823945498688,-1.47884637486196,-0.217632535111806
125,-0.177419843357238,-0.683914259289266,0.329074572574789
126,-0.638834562325367,-1.17547133397151,-0.102197790679223
127,-0.527875195165835,-1.10110052202468,0.0453501316930125
128,-0.339103062637431,-0.882837752234565,0.204631626959702
