candidate_name,source_path,series_col,series_value,note,overall_n_years,overall_year_min,overall_year_max,overall_corr,overall_mae,overall_uplift_shape_mae,overall_uplift_shape_corr,overall_first_diff_corr,overall_direction_match_rate,train_n_years,train_year_min,train_year_max,train_corr,train_mae,train_uplift_shape_mae,train_uplift_shape_corr,train_first_diff_corr,train_direction_match_rate,validation_n_years,validation_year_min,validation_year_max,validation_corr,validation_mae,validation_uplift_shape_mae,validation_uplift_shape_corr,validation_first_diff_corr,validation_direction_match_rate,holdout_n_years,holdout_year_min,holdout_year_max,holdout_corr,holdout_mae,holdout_uplift_shape_mae,holdout_uplift_shape_corr,holdout_first_diff_corr,holdout_direction_match_rate,modern_uplift_target,modern_uplift_candidate,modern_uplift_error,modern_uplift_shape_error,late_level_target,late_level_candidate,late_level_error,late_level_shape_error,peak_year,peak_year_target,peak_year_candidate,peak_year_error,post_event_corr,post_event_mae,post_event_uplift_shape_mae,post_event_uplift_shape_corr,post_event_first_diff_corr,post_event_direction_match_rate,rank
wave002:raw_5_60_affine,/Users/peter/projects/shin-go-chart-replication-20260408/outputs/reverse_engineering/wave_002_refinement_candidates_robustness.csv,candidate,raw_5_60_affine,,71,1951,2021,0.9821131150196214,0.030591751162960992,0.030591751162960985,0.9821131150196213,0.9658942075308271,0.8309859154929577,50,1951,2000,0.933617046367664,0.02862606592408936,0.02862606592408936,0.933617046367664,0.9854291679568149,0.8,10,2001,2010,0.8189792893744752,0.03945723992167137,0.03945723992167136,0.8189792893744752,0.8357421789678069,0.8,11,2011,2021,0.9971768845606329,0.031467148831731656,0.031467148831731656,0.997176884560633,0.9206254065022005,1.0,0.4796701370867499,0.4401735872686801,0.03949654981806977,0.039496549818069715,0.7097895927141253,0.7040591687216963,0.005730423992429068,0.005730423992429068,2021,0.824553276894614,0.7968528185571816,0.0277004583374324,0.9955415929798638,0.020404542701190173,0.020404542701190173,0.9955415929798638,0.885492248638274,1.0,1
wave002:raw_2_50_affine,/Users/peter/projects/shin-go-chart-replication-20260408/outputs/reverse_engineering/wave_002_refinement_candidates_robustness.csv,candidate,raw_2_50_affine,,71,1951,2021,0.9775423337525719,0.03304378817810066,0.03304378817810066,0.9775423337525718,0.9123793176825643,0.9014084507042254,50,1951,2000,0.9394270314816707,0.023001947416688637,0.023001947416688637,0.9394270314816707,0.9239348098807891,0.9,10,2001,2010,0.7723024850386578,0.04368827010148309,0.04368827010148309,0.772302485038658,0.8073709458802635,0.8,11,2011,2021,0.9947492107839956,0.06901171716326218,0.06901171716326218,0.994749210783996,0.9142850665257596,1.0,0.4796701370867499,0.36031002995750516,0.11936010712924472,0.11936010712924472,0.7097895927141253,0.5958675197368756,0.11392207297724977,0.11392207297724977,2021,0.824553276894614,0.666542391942719,0.15801088495189497,0.9948633939052792,0.0903918592324644,0.09039185923246439,0.994863393905279,0.8532260287429067,1.0,2
wave002:raw_5_60,/Users/peter/projects/shin-go-chart-replication-20260408/outputs/reverse_engineering/wave_002_refinement_candidates_robustness.csv,candidate,raw_5_60,,71,1951,2021,0.9821131150196214,0.043914770137324845,0.04560096842046524,0.9821131150196213,0.9658942075308273,0.8309859154929577,50,1951,2000,0.9336170463676642,0.032514691699719885,0.032127063065180546,0.9336170463676642,0.985429167956815,0.8,10,2001,2010,0.8189792893744751,0.04158312709426451,0.04488129368027333,0.8189792893744754,0.8357421789678071,0.8,11,2011,2021,0.997176884560633,0.09785298398376589,0.10750024252647923,0.9971768845606329,0.9206254065022003,1.0,0.4796701370867499,0.5540283528445207,0.0743582157577708,0.07435821575777068,0.7097895927141253,0.8774177556052893,0.167628162891164,0.1772754214338773,2021,0.824553276894614,0.994213298226988,0.169660021332374,0.9955415929798638,0.1271868411452745,0.13683409968798785,0.995541592979864,0.8854922486382738,1.0,3
wave002:raw_3_60,/Users/peter/projects/shin-go-chart-replication-20260408/outputs/reverse_engineering/wave_002_refinement_candidates_robustness.csv,candidate,raw_3_60,,71,1951,2021,0.9875522469199138,0.032700356464281356,0.03215875298108119,0.9875522469199138,0.9654341573682726,0.9154929577464789,50,1951,2000,0.9758538707130475,0.0186839964975208,0.018900411990192087,0.9758538707130475,0.9845548703205316,0.9,10,2001,2010,0.819969299459383,0.04772829105149732,0.045705082433968196,0.8199692994593832,0.8330730736650317,0.9,11,2011,2021,0.9970120589650732,0.0827493248702694,0.08010909434613435,0.9970120589650732,0.9297373622025467,1.0,0.4796701370867499,0.5000776946272483,0.02040755754049839,0.020407557540498278,0.7097895927141253,0.8235623934449308,0.11377280073080542,0.11113257020667022,2021,0.824553276894614,0.931610057189899,0.10705678029528498,0.9957169962775978,0.087594871203639,0.08495464067950392,0.9957169962775978,0.884330281035328,1.0,4
wave002:raw_2_60_affine,/Users/peter/projects/shin-go-chart-replication-20260408/outputs/reverse_engineering/wave_002_refinement_candidates_robustness.csv,candidate,raw_2_60_affine,,71,1951,2021,0.9883902121128773,0.020808175297077375,0.020808175297077378,0.9883902121128771,0.9735499528264054,0.9295774647887324,50,1951,2000,0.993603757508764,0.008217577371134717,0.008217577371134717,0.993603757508764,0.994895657853458,0.92,10,2001,2010,0.8319114617400682,0.04727713367339704,0.04727713367339704,0.8319114617400682,0.8404528140370581,0.9,11,2011,2021,0.9966670863241899,0.053975476436526136,0.05397547643652616,0.9966670863241899,0.9262938782106483,1.0,0.4796701370867499,0.45191431061332354,0.027755826473426337,0.027755826473426337,0.7097895927141253,0.7561524990256625,0.046362906311537166,0.04636290631153739,2021,0.824553276894614,0.8554910928543322,0.03093781595971823,0.9955524571261967,0.036540974473024644,0.03654097447302465,0.9955524571261967,0.8784304873614066,1.0,5
wave002:raw_2_60,/Users/peter/projects/shin-go-chart-replication-20260408/outputs/reverse_engineering/wave_002_refinement_candidates_robustness.csv,candidate,raw_2_60,,71,1951,2021,0.988390212112877,0.022995327482193403,0.02311974635087119,0.9883902121128774,0.9735499528264054,0.9295774647887324,50,1951,2000,0.9936037575087641,0.011164774917180547,0.008644696241953752,0.9936037575087641,0.9948956578534581,0.92,10,2001,2010,0.8319114617400685,0.044540157321182175,0.04978185912683741,0.8319114617400684,0.8404528140370582,0.9,11,2011,2021,0.9966670863241898,0.05718435746953479,0.06467714432234481,0.9966670863241899,0.9262938782106481,1.0,0.4796701370867499,0.46451277185089784,0.015157365235852038,0.015157365235852094,0.7097895927141253,0.7698361575358302,0.060046564821704895,0.06753935167451486,2021,0.824553276894614,0.871944111383321,0.04739083448870696,0.9955524571261967,0.04549228532966334,0.052985072182473336,0.9955524571261969,0.8784304873614067,1.0,6
wave002:raw_2_50,/Users/peter/projects/shin-go-chart-replication-20260408/outputs/reverse_engineering/wave_002_refinement_candidates_robustness.csv,candidate,raw_2_50,,71,1951,2021,0.977542333752572,0.041733538602485,0.03940982381177911,0.9775423337525718,0.9123793176825642,0.9014084507042254,50,1951,2000,0.9394270314816706,0.0323415715086445,0.030993433336977714,0.9394270314816706,0.9239348098807889,0.9,10,2001,2010,0.7723024850386578,0.05423973129906218,0.05163768219088142,0.772302485038658,0.8073709458802634,0.8,11,2011,2021,0.9947492107839957,0.0730550320321444,0.06654990926169252,0.9947492107839959,0.9142850665257594,1.0,0.4796701370867499,0.47780576712284817,0.001864369963901713,0.001864369963901713,0.7097895927141253,0.7978108218286848,0.08802122911455945,0.08151610634410755,2021,0.824553276894614,0.891532502389742,0.06697922549512803,0.994863393905279,0.06707192421220802,0.060566801441756114,0.9948633939052792,0.8532260287429062,1.0,7
wave002:raw_4_60,/Users/peter/projects/shin-go-chart-replication-20260408/outputs/reverse_engineering/wave_002_refinement_candidates_robustness.csv,candidate,raw_4_60,,71,1951,2021,0.9854870228059824,0.04017060155568879,0.04117358499534668,0.9854870228059824,0.9662705511465314,0.8591549295774648,50,1951,2000,0.9660545902882638,0.02816840608625788,0.02472778759453268,0.9660545902882638,0.9851007705510574,0.82,10,2001,2010,0.8141702716939795,0.044240323016541475,0.052751282899230166,0.8141702716939795,0.8368707865077223,0.9,11,2011,2021,0.9973620111850963,0.09102628872505404,0.10540202963187983,0.9973620111850963,0.9288472098535292,1.0,0.4796701370867499,0.5276077228567517,0.047937585770001845,0.047937585770001845,0.7097895927141253,0.8493751743804997,0.13958558166637436,0.15396132257320017,2021,0.824553276894614,0.959882976211508,0.13532969931689398,0.9958197527992954,0.10754395329168465,0.12191969419851047,0.9958197527992956,0.8870819348913157,1.0,8
wave002:raw_2_55,/Users/peter/projects/shin-go-chart-replication-20260408/outputs/reverse_engineering/wave_002_refinement_candidates_robustness.csv,candidate,raw_2_55,,71,1951,2021,0.9828026846040647,0.05835425940261766,0.03366878226535494,0.9828026846040646,0.9407764311786574,0.9577464788732394,50,1951,2000,0.9669134347358581,0.04191854335067806,0.021104727143649783,0.9669134347358581,0.9542607378970169,0.96,10,2001,2010,0.8369170765681017,0.08743507797558678,0.05353136052824209,0.8369170765681015,0.8594768685300117,0.9,11,2011,2021,0.9953753327956165,0.10662495184509839,0.07272123439775367,0.9953753327956165,0.9170623658689203,1.0,0.4796701370867499,0.47088247110758735,0.008787665979162529,0.008787665979162529,0.7097895927141253,0.8247162559335122,0.11492666321938683,0.08102294577204217,2021,0.824553276894614,0.920243308470564,0.09569003157595002,0.9953293939619843,0.09689941763113484,0.0629957001837901,0.9953293939619842,0.8717257604619061,1.0,9
wave002:raw_6_60,/Users/peter/projects/shin-go-chart-replication-20260408/outputs/reverse_engineering/wave_002_refinement_candidates_robustness.csv,candidate,raw_6_60,,71,1951,2021,0.980868398948942,0.05316721943772569,0.051603564963022736,0.9808683989489418,0.9544335960012299,0.8309859154929577,50,1951,2000,0.9440942816804317,0.03327260541031815,0.03363703195714006,0.9440942816804317,0.9733147627853128,0.78,10,2001,2010,0.8092478836722313,0.06145680959773432,0.0560150919116288,0.8092478836722312,0.8238876932326628,0.9,11,2011,2021,0.9970550855399212,0.13606129214411578,0.12925914503648384,0.9970550855399212,0.9145461523520543,1.0,0.4796701370867499,0.5505818742246205,0.07091173713787058,0.07091173713787047,0.7097895927141253,0.9074995472663878,0.19770995455226248,0.19090780744463054,2021,0.824553276894614,1.0205555232991,0.19600224640448594,0.9945682411499952,0.161054118922162,0.1542519718145301,0.9945682411499953,0.8652890974386906,1.0,10
