label,fe,fe_ci_ll,fe_ci_ul,year,candidate,kind,move_start,move_end,matches_ai_move_filter,base_candidate,affine_intercept,affine_slope
1998.0,-0.0047833309204294,-0.368822586433723,0.359255924592864,1998,raw_2_60,raw,2.0,60.0,all,,,
1999.0,0.0787876676076757,-0.287435452724235,0.445010787939587,1999,raw_2_60,raw,2.0,60.0,all,,,
2000.0,-0.0062676110535785,-0.371998267882057,0.3594630457749,2000,raw_2_60,raw,2.0,60.0,all,,,
2001.0,0.0127527215162225,-0.353649864508359,0.379155307540804,2001,raw_2_60,raw,2.0,60.0,all,,,
2002.0,0.107214929030222,-0.255874257125331,0.470304115185775,2002,raw_2_60,raw,2.0,60.0,all,,,
2003.0,0.0547440359727647,-0.308281120403988,0.417769192349518,2003,raw_2_60,raw,2.0,60.0,all,,,
2004.0,0.0724467809133955,-0.29029807246971,0.435191634296501,2004,raw_2_60,raw,2.0,60.0,all,,,
2005.0,-0.0302823552663021,-0.395108177414997,0.334543466882393,2005,raw_2_60,raw,2.0,60.0,all,,,
2006.0,0.136591253679133,-0.22674033065704,0.499922838015306,2006,raw_2_60,raw,2.0,60.0,all,,,
2007.0,0.0844182351164805,-0.277791390339523,0.446627860572484,2007,raw_2_60,raw,2.0,60.0,all,,,
2008.0,0.168786063182583,-0.193313710315993,0.53088583668116,2008,raw_2_60,raw,2.0,60.0,all,,,
2009.0,0.181194474230253,-0.180942978248443,0.543331926708949,2009,raw_2_60,raw,2.0,60.0,all,,,
2010.0,0.0896355532319856,-0.273032732582665,0.452303839046636,2010,raw_2_60,raw,2.0,60.0,all,,,
2011.0,0.0992017291605194,-0.262198372647976,0.460601830969015,2011,raw_2_60,raw,2.0,60.0,all,,,
2012.0,0.116065376240449,-0.245176551101363,0.477307303582262,2012,raw_2_60,raw,2.0,60.0,all,,,
2013.0,0.0818624799435889,-0.279587796665493,0.443312756552671,2013,raw_2_60,raw,2.0,60.0,all,,,
2014.0,0.140519472802204,-0.220774856723684,0.501813802328093,2014,raw_2_60,raw,2.0,60.0,all,,,
2015.0,0.21011444461086,-0.150668868301127,0.570897757522846,2015,raw_2_60,raw,2.0,60.0,all,,,
2016.0,0.175047859714517,-0.18529418892417,0.535389908353204,2016,raw_2_60,raw,2.0,60.0,all,,,
2017.0,0.317717590566383,-0.0421800333011146,0.677615214433881,2017,raw_2_60,raw,2.0,60.0,all,,,
2018.0,0.639569023433544,0.280140366130525,0.998997680736563,2018,raw_2_60,raw,2.0,60.0,all,,,
2019.0,0.769897347435474,0.410207352813338,1.12958734205761,2019,raw_2_60,raw,2.0,60.0,all,,,
2020.0,0.797934147890982,0.43811474531568,1.15775355046628,2020,raw_2_60,raw,2.0,60.0,all,,,
2021.0,0.871944111383321,0.512885028129028,1.23100319463761,2021,raw_2_60,raw,2.0,60.0,all,,,
1951.0,0.116403858944241,-0.342302410643887,0.575110128532369,1951,raw_2_55,raw,2.0,55.0,all,,,
1952.0,-0.231567952520545,-0.696078040361618,0.232942135320528,1952,raw_2_55,raw,2.0,55.0,all,,,
1953.0,0.0362733383046427,-0.405716465016137,0.478263141625423,1953,raw_2_55,raw,2.0,55.0,all,,,
1954.0,-0.202541700721827,-0.691724744546224,0.28664134310257,1954,raw_2_55,raw,2.0,55.0,all,,,
1955.0,-0.0530640299392308,-0.562781981423428,0.456653921544966,1955,raw_2_55,raw,2.0,55.0,all,,,
1956.0,-0.150865880564576,-0.637060752479166,0.335328991350014,1956,raw_2_55,raw,2.0,55.0,all,,,
1957.0,0.0638676766355463,-0.364790984713992,0.492526337985085,1957,raw_2_55,raw,2.0,55.0,all,,,
1958.0,-0.16645545726803,-0.660262431322821,0.327351516786761,1958,raw_2_55,raw,2.0,55.0,all,,,
1959.0,-0.0915199520317403,-0.534739559514633,0.351699655451152,1959,raw_2_55,raw,2.0,55.0,all,,,
1960.0,0.0540811051457493,-0.369313892803578,0.477476103095077,1960,raw_2_55,raw,2.0,55.0,all,,,
1961.0,-0.167944295489101,-0.61965292353753,0.283764332559329,1961,raw_2_55,raw,2.0,55.0,all,,,
1962.0,-0.102730481481846,-0.513083387838233,0.307622424874542,1962,raw_2_55,raw,2.0,55.0,all,,,
1963.0,-0.149075812486658,-0.578357881754247,0.280206256780931,1963,raw_2_55,raw,2.0,55.0,all,,,
1964.0,0.0411609916637987,-0.380326791163212,0.462648774490809,1964,raw_2_55,raw,2.0,55.0,all,,,
1965.0,0.0733025049124207,-0.350986584826616,0.497591594651458,1965,raw_2_55,raw,2.0,55.0,all,,,
1966.0,-0.0277626894644515,-0.444084883409736,0.388559504480833,1966,raw_2_55,raw,2.0,55.0,all,,,
1967.0,0.280719357504941,-0.159910212994987,0.721348928004868,1967,raw_2_55,raw,2.0,55.0,all,,,
1968.0,0.153714627465263,-0.278675999913302,0.586105254843829,1968,raw_2_55,raw,2.0,55.0,all,,,
1969.0,-0.0199805964174598,-0.443502860275212,0.403541667440292,1969,raw_2_55,raw,2.0,55.0,all,,,
1970.0,-0.136014131402293,-0.578742299023095,0.306714036218509,1970,raw_2_55,raw,2.0,55.0,all,,,
1971.0,0.0181244051549797,-0.410387780757496,0.446636591067455,1971,raw_2_55,raw,2.0,55.0,all,,,
1972.0,0.107309989303385,-0.321077915091775,0.535697893698545,1972,raw_2_55,raw,2.0,55.0,all,,,
1973.0,-0.0035306076590225,-0.415667465757289,0.408606250439244,1973,raw_2_55,raw,2.0,55.0,all,,,
1974.0,0.120393514084,-0.293837597020253,0.534624625188252,1974,raw_2_55,raw,2.0,55.0,all,,,
1975.0,0.142773412395386,-0.271672917597259,0.557219742388031,1975,raw_2_55,raw,2.0,55.0,all,,,
1976.0,-0.008530169545319,-0.413329034754244,0.396268695663606,1976,raw_2_55,raw,2.0,55.0,all,,,
1977.0,0.0129419826214103,-0.394291614099377,0.420175579342197,1977,raw_2_55,raw,2.0,55.0,all,,,
1978.0,0.143679549181433,-0.26275885828688,0.550117956649747,1978,raw_2_55,raw,2.0,55.0,all,,,
1979.0,0.139218762000642,-0.262289506796078,0.540727030797362,1979,raw_2_55,raw,2.0,55.0,all,,,
1980.0,0.0661398103451921,-0.340957592548355,0.473237213238739,1980,raw_2_55,raw,2.0,55.0,all,,,
1981.0,0.120771715958542,-0.290007757945325,0.531551189862409,1981,raw_2_55,raw,2.0,55.0,all,,,
1982.0,0.0722683781627237,-0.339690962411909,0.484227718737356,1982,raw_2_55,raw,2.0,55.0,all,,,
1983.0,0.234058779193749,-0.173573207841656,0.641690766229155,1983,raw_2_55,raw,2.0,55.0,all,,,
1984.0,0.0558303539748905,-0.356376857606037,0.468037565555818,1984,raw_2_55,raw,2.0,55.0,all,,,
1985.0,0.0549620463033267,-0.35260034505323,0.462524437659883,1985,raw_2_55,raw,2.0,55.0,all,,,
1986.0,0.159628876987294,-0.240916292787232,0.56017404676182,1986,raw_2_55,raw,2.0,55.0,all,,,
1987.0,0.156558016166096,-0.247493109701877,0.560609142034069,1987,raw_2_55,raw,2.0,55.0,all,,,
1988.0,0.0960437696940899,-0.302199958640607,0.494287498028787,1988,raw_2_55,raw,2.0,55.0,all,,,
1989.0,0.0238990473630093,-0.381650290041684,0.429448384767703,1989,raw_2_55,raw,2.0,55.0,all,,,
1990.0,0.0640153951289002,-0.338627312148933,0.466658102406733,1990,raw_2_55,raw,2.0,55.0,all,,,
1991.0,0.0590516969130473,-0.339224959178147,0.457328353004242,1991,raw_2_55,raw,2.0,55.0,all,,,
1992.0,0.0537548044566472,-0.353571890678788,0.461081499592082,1992,raw_2_55,raw,2.0,55.0,all,,,
1993.0,-0.0902914288654467,-0.497187877811037,0.316605020080144,1993,raw_2_55,raw,2.0,55.0,all,,,
1994.0,-0.0019344648418681,-0.408138250126904,0.404269320443168,1994,raw_2_55,raw,2.0,55.0,all,,,
1995.0,0.0597763060809894,-0.343409590223885,0.462962202385864,1995,raw_2_55,raw,2.0,55.0,all,,,
1996.0,0.0620816628711778,-0.339346167580311,0.463509493322666,1996,raw_2_55,raw,2.0,55.0,all,,,
1997.0,0.0590337110800154,-0.343106202931053,0.461173625091084,1997,raw_2_55,raw,2.0,55.0,all,,,
1998.0,0.0518359511382273,-0.349949539991981,0.453621442268435,1998,raw_2_55,raw,2.0,55.0,all,,,
1999.0,0.129570900710387,-0.274199569678792,0.533341371099566,1999,raw_2_55,raw,2.0,55.0,all,,,
2000.0,0.0427885836026155,-0.36027576710235,0.445852934307582,2000,raw_2_55,raw,2.0,55.0,all,,,
2001.0,0.0571692205331076,-0.346164308111702,0.460502749177917,2001,raw_2_55,raw,2.0,55.0,all,,,
2002.0,0.163677099371628,-0.237232567092215,0.564586765835471,2002,raw_2_55,raw,2.0,55.0,all,,,
2003.0,0.107799507937347,-0.292808660029305,0.508407675904,2003,raw_2_55,raw,2.0,55.0,all,,,
2004.0,0.110747370791795,-0.289684123502122,0.511178865085712,2004,raw_2_55,raw,2.0,55.0,all,,,
2005.0,0.0139723844225701,-0.388429565391157,0.416374334236298,2005,raw_2_55,raw,2.0,55.0,all,,,
2006.0,0.159864745410591,-0.240570261577381,0.560299752398563,2006,raw_2_55,raw,2.0,55.0,all,,,
2007.0,0.130660129345532,-0.269345447019529,0.530665705710594,2007,raw_2_55,raw,2.0,55.0,all,,,
2008.0,0.221516016476545,-0.177953784707505,0.620985817660596,2008,raw_2_55,raw,2.0,55.0,all,,,
2009.0,0.214495048181759,-0.185489845267453,0.614479941630971,2009,raw_2_55,raw,2.0,55.0,all,,,
2010.0,0.149060226151457,-0.251105065827277,0.54922551813019,2010,raw_2_55,raw,2.0,55.0,all,,,
2011.0,0.17184770800657,-0.226845499340381,0.570540915353521,2011,raw_2_55,raw,2.0,55.0,all,,,
2012.0,0.158295796797014,-0.240316634034712,0.55690822762874,2012,raw_2_55,raw,2.0,55.0,all,,,
