label,fe,fe_ci_ll,fe_ci_ul,year,fe_raw,fe_ci_ll_raw,fe_ci_ul_raw,segment,segment_population,fe_centered,fe_ci_ll_centered,fe_ci_ul_centered,pre_alphago_baseline_mean
1951,0.07726663308470155,-0.31408286350177217,0.4686161296711754,1951,0.079778764645468,-0.336351401722383,0.495908931013319,historical_reconstructed_all_osf_players,all OSF players under reconstructed historical metric,0.061020519220794274,-0.33032897736567945,0.4523700158072681,0.01624611386390728
1952,-0.17215667626437492,-0.5645751635155081,0.22026181098675818,1952,-0.185438296116783,-0.602705142784495,0.231828550550929,historical_reconstructed_all_osf_players,all OSF players under reconstructed historical metric,-0.1884027901282822,-0.5808212773794154,0.2040156971228509,0.01624611386390728
1953,-0.003757963754070012,-0.3941640101309637,0.3866480826228243,1953,-0.0063763965505958,-0.421503372429902,0.408750579328711,historical_reconstructed_all_osf_players,all OSF players under reconstructed historical metric,-0.02000407761797729,-0.410410123994871,0.370401968758917,0.01624611386390728
1954,-0.13131229178310014,-0.5454629343849315,0.2828383508187314,1954,-0.142007601411316,-0.58238270681067,0.298367503988038,historical_reconstructed_all_osf_players,all OSF players under reconstructed historical metric,-0.14755840564700742,-0.5617090482488388,0.2665922369548241,0.01624611386390728
1955,-0.02459946920472078,-0.46233595907599534,0.4131370206665542,1955,-0.0285376084754447,-0.493992042285258,0.436916825334369,historical_reconstructed_all_osf_players,all OSF players under reconstructed historical metric,-0.04084558306862806,-0.4785820729399026,0.39689090680264694,0.01624611386390728
1956,-0.2323762331966601,-0.6743652291713975,0.20961276277807742,1956,-0.249471019969522,-0.719447233129378,0.220505193190334,historical_reconstructed_all_osf_players,all OSF players under reconstructed historical metric,-0.24862234706056738,-0.6906113430353048,0.19336664891417013,0.01624611386390728
1957,0.013755516284505822,-0.359271989468237,0.3867830220372488,1957,0.0122460558243295,-0.384401951602898,0.408894063251557,historical_reconstructed_all_osf_players,all OSF players under reconstructed historical metric,-0.0024905975794014563,-0.3755181033321443,0.3705369081733415,0.01624611386390728
1958,-0.14306249811546548,-0.5608635498054904,0.27473855357456034,1958,-0.154501843408797,-0.598758505714268,0.289754818896675,historical_reconstructed_all_osf_players,all OSF players under reconstructed historical metric,-0.15930861197937277,-0.5771096636693976,0.25849243971065305,0.01624611386390728
1959,-0.11885285798371548,-0.505041309884117,0.26733559391668515,1959,-0.128759222903075,-0.539401541700966,0.281883095894815,historical_reconstructed_all_osf_players,all OSF players under reconstructed historical metric,-0.13509897184762276,-0.5212874237480243,0.25108948005277787,0.01624611386390728
1960,0.05307134456415322,-0.31191026804154276,0.41805295716984886,1960,0.0540514045103587,-0.334041235187863,0.44214404420858,historical_reconstructed_all_osf_players,all OSF players under reconstructed historical metric,0.03682523070024594,-0.32815638190545005,0.4018068433059416,0.01624611386390728
1961,-0.169303112075018,-0.5628297380204133,0.22422351387037628,1961,-0.182404041182981,-0.600849195075371,0.236041112709408,historical_reconstructed_all_osf_players,all OSF players under reconstructed historical metric,-0.18554922593892528,-0.5790758518843205,0.207977400006469,0.01624611386390728
1962,-0.0831579872656202,-0.4330544186880318,0.2667384441567919,1962,-0.0908041146942727,-0.462856363360326,0.281248133971781,historical_reconstructed_all_osf_players,all OSF players under reconstructed historical metric,-0.09940410112952747,-0.4493005325519391,0.2504923302928846,0.01624611386390728
1963,-0.16556500873626556,-0.5303964298643855,0.19926641239185436,1963,-0.178429237132322,-0.566362175067552,0.209503700802908,historical_reconstructed_all_osf_players,all OSF players under reconstructed historical metric,-0.18181112260017285,-0.5466425437282928,0.18302029852794707,0.01624611386390728
1964,0.00642884258568076,-0.3562495809316926,0.36910726610305383,1964,0.0044554492902507,-0.381188160916787,0.390099059497288,historical_reconstructed_all_osf_players,all OSF players under reconstructed historical metric,-0.009817271278226519,-0.3724956947955999,0.35286115223914655,0.01624611386390728
1965,0.049335757956244376,-0.31565851379075016,0.4143300297032397,1965,0.0500792765526391,-0.338026823877283,0.438185376982562,historical_reconstructed_all_osf_players,all OSF players under reconstructed historical metric,0.0330896440923371,-0.33190462765465745,0.3980839158393324,0.01624611386390728
1966,-0.08269201119987475,-0.444144695427684,0.2787606730279347,1966,-0.0903086325243621,-0.474648888315618,0.294031623266894,historical_reconstructed_all_osf_players,all OSF players under reconstructed historical metric,-0.09893812506378202,-0.46039080929159126,0.26251455916402744,0.01624611386390728
1967,0.20434443080140674,-0.18292218098549096,0.5916110425883054,1967,0.214903264783487,-0.196885484141061,0.626692013708036,historical_reconstructed_all_osf_players,all OSF players under reconstructed historical metric,0.18809831693749945,-0.19916829484939824,0.5753649287243982,0.01624611386390728
1968,0.09078443749618231,-0.27979993973355755,0.46136881472592184,1968,0.0941525309278902,-0.299897646458407,0.488202708314187,historical_reconstructed_all_osf_players,all OSF players under reconstructed historical metric,0.07453832363227503,-0.29604605359746483,0.44512270086201455,0.01624611386390728
1969,-0.049933049325464524,-0.4218631368853885,0.32199703823445947,1969,-0.055475338055503,-0.450956437593143,0.340005761482137,historical_reconstructed_all_osf_players,all OSF players under reconstructed historical metric,-0.06617916318937181,-0.4381092507492958,0.3057509243705522,0.01624611386390728
1970,-0.1750051585960723,-0.5589706359957834,0.20896031880363802,1970,-0.188467147404249,-0.596745730572294,0.219811435763795,historical_reconstructed_all_osf_players,all OSF players under reconstructed historical metric,-0.19125127245997958,-0.5752167498596907,0.19271420493973074,0.01624611386390728
1971,-0.04000101801516545,-0.40938783915527216,0.3293858031249415,1971,-0.0449143998721771,-0.437691190633065,0.347862390888711,historical_reconstructed_all_osf_players,all OSF players under reconstructed historical metric,-0.05624713187907273,-0.42563395301917945,0.3131396892610342,0.01624611386390728
1972,0.08161043549192565,-0.2825253034154057,0.4457461743992567,1972,0.0843976212791262,-0.302795583091091,0.471590825649343,historical_reconstructed_all_osf_players,all OSF players under reconstructed historical metric,0.06536432162801836,-0.298771417279313,0.4295000605353494,0.01624611386390728
1973,-0.03820611674123714,-0.3928259412259946,0.31641370774352,1973,-0.0430058435248493,-0.420080575567013,0.334068888517314,historical_reconstructed_all_osf_players,all OSF players under reconstructed historical metric,-0.05445223060514442,-0.4090720550899019,0.3001675938796127,0.01624611386390728
1974,0.05392390657288891,-0.30020193139128976,0.4080497445370684,1974,0.0549579516597191,-0.321591514105664,0.431507417425103,historical_reconstructed_all_osf_players,all OSF players under reconstructed historical metric,0.03767779270898163,-0.31644804525519704,0.3918036306731611,0.01624611386390728
